date,type,event,category,subcategory,customer,quantity,unit_rate,amount,status,source
2025-11-10,overhead,,Stripe,payment-processing-fee,,1,10.22,10.22,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2025-11-13,overhead,,Stripe,payment-processing-fee,,1,9.85,9.85,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2025-11-19,overhead,,Stripe,payment-processing-fee,,1,72.53,72.53,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2025-11-21,overhead,,Stripe,payment-processing-fee,,1,3.61,3.61,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2025-12-15,overhead,,Stripe,payment-processing-fee,,1,6.66,6.66,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2025-12-17,overhead,,Stripe,payment-processing-fee,,1,16.01,16.01,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2026-04-01,overhead,,Stripe,payment-processing-fee,,1,10.22,10.22,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2026-04-02,overhead,,Stripe,payment-processing-fee,,1,1.95,1.95,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2026-04-22,overhead,,Stripe,payment-processing-fee,,1,6.92,6.92,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2026-05-14,overhead,,Stripe,payment-processing-fee,,1,6.92,6.92,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2026-05-18,overhead,,Stripe,payment-processing-fee,,1,7.74,7.74,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2026-05-20,overhead,,Stripe,payment-processing-fee,,1,5.70,5.70,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 2 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2026-06-05,overhead,,Stripe,payment-processing-fee,,1,18.66,18.66,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2026-06-08,overhead,,Stripe,payment-processing-fee,,1,5.55,5.55,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 2 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2026-06-10,overhead,,Stripe,payment-processing-fee,,1,20.15,20.15,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 2 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2026-06-16,overhead,,Stripe,payment-processing-fee,,1,11.22,11.22,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2026-06-18,overhead,,Stripe,payment-processing-fee,,1,7.79,7.79,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 3 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2026-06-22,overhead,,Stripe,payment-processing-fee,,1,5.26,5.26,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2026-06-23,overhead,,Stripe,payment-processing-fee,,1,12.95,12.95,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2026-07-01,overhead,,Stripe,payment-processing-fee,,1,2.29,2.29,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2026-07-02,overhead,,Stripe,payment-processing-fee,,1,12.98,12.98,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 2 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2026-07-03,overhead,,Stripe,payment-processing-fee,,1,3.61,3.61,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2025-04-06,overhead,,General Liability Insurance,monthly-premium,,1,26.25,26.25,ACTUAL,reference/Relay 2025-04-01 #3549.csv; payee 'Simply Business'
2025-05-06,overhead,,General Liability Insurance,monthly-premium,,1,26.25,26.25,ACTUAL,reference/Relay 2025-05-01 #3549.csv; payee 'Simply Business'
2025-05-15,overhead,,Gusto,payroll-provider-fee,,1,158.00,158.00,ACTUAL,reference/Relay 2025-05-01 #3549.csv; FEE 923930 - Initiated By Unknown Payee
2025-06-04,overhead,,Gusto,payroll-provider-fee,,1,58.00,58.00,ACTUAL,reference/Relay 2025-06-01 #3549.csv; FEE 627371 - Initiated By Unknown Payee
2025-06-06,overhead,,General Liability Insurance,monthly-premium,,1,26.25,26.25,ACTUAL,reference/Relay 2025-06-01 #3549.csv; payee 'Simply Business'
2025-06-25,overhead,,Homeworks (CRM),crm-subscription,,1,139.00,139.00,ACTUAL,"reference/Relay 2025-06-01 #3549.csv; payee 'Copilot' -- prior name for Homeworks, per owner"
2025-07-03,overhead,,Gusto,payroll-provider-fee,,1,94.00,94.00,ACTUAL,reference/Relay 2025-07-01 #3549.csv; FEE 815411 - Initiated By Unknown Payee
2025-07-06,overhead,,General Liability Insurance,monthly-premium,,1,26.25,26.25,ACTUAL,reference/Relay 2025-07-01 #3549.csv; payee 'Simply Business'
2025-07-25,overhead,,Homeworks (CRM),crm-subscription,,1,139.00,139.00,ACTUAL,"reference/Relay 2025-07-01 #3549.csv; payee 'Copilot' -- prior name for Homeworks, per owner"
2025-08-05,overhead,,Gusto,payroll-provider-fee,,1,100.00,100.00,ACTUAL,reference/Relay 2025-08-01 #3549.csv; FEE 980824 - Initiated By Unknown Payee
2025-08-06,overhead,,General Liability Insurance,monthly-premium,,1,26.25,26.25,ACTUAL,reference/Relay 2025-08-01 #3549.csv; payee 'Simply Business'
2025-08-25,overhead,,Homeworks (CRM),crm-subscription,,1,139.00,139.00,ACTUAL,"reference/Relay 2025-08-01 #3549.csv; payee 'Copilot' -- prior name for Homeworks, per owner"
2025-09-04,overhead,,Gusto,payroll-provider-fee,,1,100.00,100.00,ACTUAL,reference/Relay 2025-09-01 #3549.csv; FEE 091647 - Initiated By Unknown Payee
2025-09-06,overhead,,General Liability Insurance,monthly-premium,,1,37.50,37.50,ACTUAL,reference/Relay 2025-09-01 #3549.csv; payee 'Simply Business'
2025-09-25,overhead,,Homeworks (CRM),crm-subscription,,1,139.00,139.00,ACTUAL,"reference/Relay 2025-09-01 #3549.csv; payee 'Copilot' -- prior name for Homeworks, per owner"
2025-10-02,overhead,,Gusto,payroll-provider-fee,,1,109.00,109.00,ACTUAL,reference/Relay 2025-10-01 #3549.csv; FEE 134822 - Initiated By Unknown Payee
2025-10-25,overhead,,Homeworks (CRM),crm-subscription,,1,139.00,139.00,ACTUAL,"reference/Relay 2025-10-01 #3549.csv; payee 'Copilot' -- prior name for Homeworks, per owner"
2025-11-04,overhead,,Gusto,payroll-provider-fee,,1,115.00,115.00,ACTUAL,reference/Relay 2025-11-01 #3549.csv; FEE 438866 - Initiated By Unknown Payee
2025-11-06,overhead,,General Liability Insurance,monthly-premium,,1,33.75,33.75,ACTUAL,reference/Relay 2025-11-01 #3549.csv; payee 'Simply Business'
2025-11-25,overhead,,Homeworks (CRM),crm-subscription,,1,139.00,139.00,ACTUAL,"reference/Relay 2025-11-01 #3549.csv; payee 'Copilot' -- prior name for Homeworks, per owner"
2025-12-03,overhead,,Gusto,payroll-provider-fee,,1,109.00,109.00,ACTUAL,reference/Relay 2025-12-01 #3549.csv; FEE 528183 - Initiated By Unknown Payee
2025-12-06,overhead,,General Liability Insurance,monthly-premium,,1,33.75,33.75,ACTUAL,reference/Relay 2025-12-01 #3549.csv; payee 'Simply Business'
2025-12-09,overhead,,Workers Comp Insurance,annual-premium,,1,544.00,544.00,ACTUAL,reference/Relay 2025-12-01 #3549.csv; Employers Insura  |  debitpmt |  #541743968 - Initiated By Unknown Payee
2025-12-25,overhead,,Homeworks (CRM),crm-subscription,,1,139.00,139.00,ACTUAL,"reference/Relay 2025-12-01 #3549.csv; payee 'Copilot' -- prior name for Homeworks, per owner"
2026-01-05,overhead,,Gusto,payroll-provider-fee,,1,109.00,109.00,ACTUAL,reference/Relay 2026-01-01 #3549.csv; FEE 808741 - Initiated By Unknown Payee
2026-01-06,overhead,,General Liability Insurance,monthly-premium,,1,33.75,33.75,ACTUAL,reference/Relay 2026-01-01 #3549.csv; payee 'Simply Business'
2026-01-25,overhead,,Homeworks (CRM),crm-subscription,,1,139.00,139.00,ACTUAL,"reference/Relay 2026-01-01 #3549.csv; payee 'Copilot' -- prior name for Homeworks, per owner"
2026-02-03,overhead,,Gusto,payroll-provider-fee,,1,109.00,109.00,ACTUAL,reference/Relay 2026-02-01 #3549.csv; FEE 986650 - Initiated By Unknown Payee
2026-02-06,overhead,,General Liability Insurance,monthly-premium,,1,33.75,33.75,ACTUAL,reference/Relay 2026-02-01 #3549.csv; payee 'Simply Business'
2026-02-25,overhead,,Homeworks (CRM),crm-subscription,,1,139.00,139.00,ACTUAL,"reference/Relay 2026-02-01 #3549.csv; payee 'Copilot' -- prior name for Homeworks, per owner"
2026-03-03,overhead,,Gusto,payroll-provider-fee,,1,109.00,109.00,ACTUAL,reference/Relay 2026-03-01 #3549.csv; FEE 204433 - Initiated By Unknown Payee
2026-03-06,overhead,,General Liability Insurance,monthly-premium,,1,33.75,33.75,ACTUAL,reference/Relay 2026-03-01 #3549.csv; payee 'Simply Business'
2026-03-25,overhead,,Homeworks (CRM),crm-subscription,,1,139.00,139.00,ACTUAL,"reference/Relay 2026-03-01 #3549.csv; payee 'Copilot' -- prior name for Homeworks, per owner"
2026-04-02,overhead,,Gusto,payroll-provider-fee,,1,115.00,115.00,ACTUAL,reference/Relay 2026-04-01 #3549.csv; FEE 493383 - Initiated By Unknown Payee
2026-04-06,overhead,,General Liability Insurance,monthly-premium,,1,33.75,33.75,ACTUAL,reference/Relay 2026-04-01 #3549.csv; payee 'Simply Business'
2026-04-25,overhead,,Homeworks (CRM),crm-subscription,,1,139.00,139.00,ACTUAL,"reference/Relay 2026-04-01 #3549.csv; payee 'Copilot' -- prior name for Homeworks, per owner"
2026-05-05,overhead,,Gusto,payroll-provider-fee,,1,115.00,115.00,ACTUAL,reference/Relay 2026-05-01 #3549.csv; FEE 118729 - Initiated By Unknown Payee
2026-05-06,overhead,,General Liability Insurance,monthly-premium,,1,33.75,33.75,ACTUAL,reference/Relay 2026-05-01 #3549.csv; payee 'Simply Business'
2026-05-25,overhead,,Homeworks (CRM),crm-subscription,,1,139.00,139.00,ACTUAL,"reference/Relay 2026-05-01 #3549.csv; payee 'Copilot' -- prior name for Homeworks, per owner"
2026-06-02,overhead,,Gusto,payroll-provider-fee,,1,115.00,115.00,ACTUAL,reference/Relay 2026-06-01 #3549.csv; FEE 459007 - Initiated By Unknown Payee
2026-06-06,overhead,,General Liability Insurance,monthly-premium,,1,33.75,33.75,ACTUAL,reference/Relay 2026-06-01 #3549.csv; payee 'Simply Business'
2026-06-25,overhead,,Homeworks (CRM),crm-subscription,,1,299.00,299.00,ACTUAL,"reference/Relay 2026-06-01 #3549.csv; payee 'HOMEWORKS SOFTWARE' -- first debit at the new Growth-plan rate, still on the pre-existing ~25th-of-month billing anchor, not shifted to the 1st"
2026-07-02,overhead,,Gusto,payroll-provider-fee,,1,127.00,127.00,ACTUAL,reference/Relay (Partial) 2026-07-01 to 2026-07-06 #3549.csv; FEE 505876 - Initiated By Unknown Payee
2026-07-02,overhead,,Squarespace,website-hosting,,1,25.00,25.00,ACTUAL,reference/Relay (Partial) 2026-07-01 to 2026-07-06 #3549.csv; payee 'Squarespace'
2026-07-06,overhead,,General Liability Insurance,monthly-premium,,1,33.75,33.75,ACTUAL,reference/Relay (Partial) 2026-07-01 to 2026-07-06 #3549.csv; payee 'Simply Business'
2025-03-24,overhead,,Gusto,employer-payroll-tax-burden,,1,101.41,101.41,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2025-04-11-to-2026-04-11.csv; period 03/24/2025 - 04/06/2025, payday 04/11/2025; Employee Taxes 42.16 + Employer Taxes 59.25"
2025-04-07,overhead,,Gusto,employer-payroll-tax-burden,,1,23.86,23.86,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2025-04-11-to-2026-04-11.csv; period 04/07/2025 - 04/20/2025, payday 04/25/2025; Employee Taxes 9.92 + Employer Taxes 13.94"
2025-05-05,overhead,,Gusto,employer-payroll-tax-burden,,1,33.77,33.77,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2025-04-11-to-2026-04-11.csv; period 05/05/2025 - 05/18/2025, payday 05/29/2025; Employee Taxes 14.04 + Employer Taxes 19.73"
2025-05-19,overhead,,Gusto,employer-payroll-tax-burden,,1,111.16,111.16,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2025-04-11-to-2026-04-11.csv; period 05/19/2025 - 06/01/2025, payday 06/13/2025; Employee Taxes 46.21 + Employer Taxes 64.95"
2025-06-02,overhead,,Gusto,employer-payroll-tax-burden,,1,136.34,136.34,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2025-04-11-to-2026-04-11.csv; period 06/02/2025 - 06/15/2025, payday 06/23/2025; Employee Taxes 56.68 + Employer Taxes 79.66"
2025-06-16,overhead,,Gusto,employer-payroll-tax-burden,,1,255.41,255.41,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2025-04-11-to-2026-04-11.csv; period 06/16/2025 - 06/29/2025, payday 07/07/2025; Employee Taxes 110.35 + Employer Taxes 145.06"
2025-06-30,overhead,,Gusto,employer-payroll-tax-burden,,1,106.49,106.49,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2025-04-11-to-2026-04-11.csv; period 06/30/2025 - 07/13/2025, payday 07/18/2025; Employee Taxes 44.27 + Employer Taxes 62.22"
2025-07-28,overhead,,Gusto,employer-payroll-tax-burden,,1,264.53,264.53,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2025-04-11-to-2026-04-11.csv; period 07/28/2025 - 08/10/2025, payday 08/19/2025; Employee Taxes 110.35 + Employer Taxes 154.18"
2025-08-11,overhead,,Gusto,employer-payroll-tax-burden,,1,129.54,129.54,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2025-04-11-to-2026-04-11.csv; period 08/11/2025 - 08/24/2025, payday 09/03/2025; Employee Taxes 53.85 + Employer Taxes 75.69"
2025-08-25,overhead,,Gusto,employer-payroll-tax-burden,,1,31.94,31.94,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2025-04-11-to-2026-04-11.csv; period 08/25/2025 - 09/07/2025, payday 09/12/2025; Employee Taxes 13.28 + Employer Taxes 18.66"
2025-09-22,overhead,,Gusto,employer-payroll-tax-burden,,1,152.26,152.26,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2025-04-11-to-2026-04-11.csv; period 09/22/2025 - 10/05/2025, payday 10/14/2025; Employee Taxes 63.30 + Employer Taxes 88.96"
2025-10-06,overhead,,Gusto,employer-payroll-tax-burden,,1,73.00,73.00,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2025-04-11-to-2026-04-11.csv; period 10/06/2025 - 10/19/2025, payday 10/31/2025; Employee Taxes 30.35 + Employer Taxes 42.65"
2025-10-20,overhead,,Gusto,employer-payroll-tax-burden,,1,92.27,92.27,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2025-04-11-to-2026-04-11.csv; period 10/20/2025 - 11/02/2025, payday 11/07/2025; Employee Taxes 38.36 + Employer Taxes 53.91"
2025-11-03,overhead,,Gusto,employer-payroll-tax-burden,,1,40.97,40.97,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2025-04-11-to-2026-04-11.csv; period 11/03/2025 - 11/16/2025, payday 11/21/2025; Employee Taxes 17.03 + Employer Taxes 23.94"
2025-11-17,overhead,,Gusto,employer-payroll-tax-burden,,1,132.65,132.65,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2025-04-11-to-2026-04-11.csv; period 11/17/2025 - 11/30/2025, payday 12/09/2025; Employee Taxes 55.15 + Employer Taxes 77.50"
2025-12-15,overhead,,Gusto,employer-payroll-tax-burden,,1,41.11,41.11,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2025-04-11-to-2026-04-11.csv; period 12/15/2025 - 12/28/2025, payday 01/08/2026; Employee Taxes 17.09 + Employer Taxes 24.02"
2026-03-09,overhead,,Gusto,employer-payroll-tax-burden,,1,62.48,62.48,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2025-04-11-to-2026-04-11.csv; period 03/09/2026 - 03/22/2026, payday 03/27/2026; Employee Taxes 29.87 + Employer Taxes 32.61"
2026-03-23,overhead,,Gusto,employer-payroll-tax-burden,,1,42.96,42.96,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2025-04-11-to-2026-04-11.csv; period 03/23/2026 - 04/05/2026, payday 04/10/2026; Employee Taxes 20.54 + Employer Taxes 22.42"
2026-03-31,overhead,,Gusto,employer-payroll-tax-burden,,1,-5.37,-5.37,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2025-04-11-to-2026-04-11.csv; period tax-reconciliation, payday 03/31/2026, payday 03/31/2026; Employee Taxes 0.00 + Employer Taxes -5.37"
2026-04-20,overhead,,Gusto,employer-payroll-tax-burden,,1,314.53,314.53,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2026-04-11-to-2026-07-09.csv; period 04/20/2026 - 05/03/2026, payday 05/14/2026; Employee Taxes 155.84 + Employer Taxes 158.69"
2026-05-04,overhead,,Gusto,employer-payroll-tax-burden,,1,174.75,174.75,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2026-04-11-to-2026-07-09.csv; period 05/04/2026 - 05/17/2026, payday 05/28/2026; Employee Taxes 83.55 + Employer Taxes 91.20"
2026-05-18,overhead,,Gusto,employer-payroll-tax-burden,,1,120.64,120.64,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2026-04-11-to-2026-07-09.csv; period 05/18/2026 - 05/31/2026, payday 06/08/2026; Employee Taxes 57.68 + Employer Taxes 62.96"
2026-05-29,overhead,,Gusto,employer-payroll-tax-burden,,1,14.60,14.60,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2026-04-11-to-2026-07-09.csv; period off-cycle, payday 05/29/2026, payday 05/29/2026; Employee Taxes 6.98 + Employer Taxes 7.62"
2026-06-01,overhead,,Gusto,employer-payroll-tax-burden,,1,442.37,442.37,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2026-04-11-to-2026-07-09.csv; period 06/01/2026 - 06/14/2026, payday 06/18/2026; Employee Taxes 252.70 + Employer Taxes 189.67"
2026-06-15,overhead,,Gusto,employer-payroll-tax-burden,,1,199.50,199.50,ACTUAL,"reference/tupelo-landscaping-llc-payroll-summary-2026-04-11-to-2026-07-09.csv; period 06/15/2026 - 06/28/2026, payday 07/07/2026; Employee Taxes 96.42 + Employer Taxes 103.08"
